Teks,Sentimen
lagu bosan apa yang aku save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu,Negatif
kita lanjutkan saja diam ini hingga kau dan aku mengerti tidak semua kebersamaan harus melibatkan hati ,Negatif
doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p ,Positif
makasih loh ntar kita bagi hasil aku 99 9 sisanya buat kamu,Positif
aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang ,Negatif
barusan liat tulisan di belakang truk rela injek kopling demi kamu bisa shopping ,Netral
cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p ,Negatif
ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya,Positif
aku aja capek sama diriku sendiri apalagi kamu maaf ya ' ,Negatif
aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan ,Negatif
her itu lho miss kevin sama keven rebutan gimbot ya wis aku beli 2 ae sambil nunjuk the twins yg asik main ipad masin ,Netral
iya rep gatau aku masih kelas 4 sd ehh di block ,Netral
aku mohon tepatilah janjimu penantiancintaeps19,Netral
bukan beria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser ,Netral
aku ingatkan habanero paling pedas rupanya ada 10 kali ganda yg lagi pedas gila ,Netral
aku tengok drama cinta bukan kristalatu conversation anak dengan bapak bapak iyeee sekarang semua perempuan n ,Netral
i dont know why but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla ,Positif
commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa ,Negatif
aah kamu aja mas aku lebih suka diayomi ,Positif
yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja ,Netral
kau dah tak streak dengan aku pun ,Netral
yg selama ini nunggun video dari aku nih retweet yg mau full ,Netral
mau bantu aku nabung ,Positif
kamu jahat dubu lt ,Negatif
tak kisah pun bf ade kawan perempuan sebab aku pun ade kawan laki tapi kalau over nak ngadu nak cite itu ini send ga ,Netral
high ,Netral
nanti malam ada undangan opening di hungerbelt spazio temani aku laaaahhh siiisssss ,Netral
aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu ,Negatif
tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya ,Positif
aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha ,Positif
aku tambah lagi ia,Netral
cara nak mintak maaf ada 3 1 aku minta maaf 2 aku mengaku salah aku 3 apa yang boleh aku buat untuk betulkan ba ,Positif
sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan ,Netral
kalo gebetan kamu ngga pernah buang ludah di jalan pacarin ,Negatif
jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil ,Negatif
yuk netweetjen dibantu,Positif
ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka ,Positif
lecturer aku suruh tampal note kat tempat yang aku selalu tengok takkan aku nak tampal kat muka crush pulak,Netral
20thn aku pengen nikah umur 23 sm orang yang gini gini gini 23thn blm ada yg nglamar 24thn si ,Netral
terdengar perbualan budak sekolah aku nk amik a level aku nk amik asasi asasi lagi ok dari matrik kan aa ,Netral
cara outin diri sendiri gimana sih yang bisa outin aku aku bayar deh g ,Netral
giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo ,Positif
ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka ,Positif
selamat hari jumat buat kamu yg selalu bikin rindu ini kumat ,Positif
kesian belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t ,Negatif
diremes di enyot ngedusel dusel di nenen kamu wah mantap,Positif
mana gampaang aku nanya dulu tauu ,Netral
idm hallo ami tolobg bantu ya huhu ini aku masalah album ku yg ga sampe sampe ,Negatif
takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian,Negatif
hi rakyat2 ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e ,Positif
makan tido makan tido hari ni aku mereput je la kat rumah hadap diorang ni haih ,Netral
10 tahun jadi bestfriend but gaduh sikit sampai 7 bulan tak tegur malam tadi aku koyak sikit pastu post gambar dia tetib ,Negatif
threado as promised aku nk citer pengalaman aku ambik teh kurus pil kurus it was 2013 2014 mcm tuince everyone was s ,Netral
makanya tadi aku kaget lihat teman kabar nya udah menikah dalam hati kamu kapan taarufnya kok sampai ga tercium kabarnya ,Netral
pacar kamu sibuk ya kok tumben komen wassap story aku ,Negatif
kucin datang bawah meja mintak makanan kau bagi lah apa yang ada jangan sepak2 pulak dia tak datang seekor dia datang ber ,Negatif
lepaskanlah dia tidak mau kamuadarlah jangan membatu ,Negatif
aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu ,Negatif
tolong sebelum kau nak kacau orang yg aku sayang kau fikir dulu mcm mana perasaan kau bila ada orang kacau buah hati kau,Negatif
biasalah tu perempuan kena berjaga jaga muka malaikat pun kadang2 perangai syaitan jugak aku pernah gak camni lari laju teruk ,Negatif
pilih salah satu yang paling kamu nyaman,Positif
aku sendiri jugaaa yuk barengan,Positif
aku benci soalan bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu aku lak aku kena kire,Negatif
aku juga dong mbaknya link kalo jepang main ,Netral
24 8 18 birthday abang aku dia ajak pergi makan aku tolak sebab kerja balik lambat nak ot 26 8 18 dia ajak per ,Negatif
mini giveaway berhubung aku ultah aku mau bagi rezeki pulsa 10k like aja mau mutualan boleh bgt doain aku yaa diundi j ,Positif
mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego ,Positif
aryana tolong bukak mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian pls laaaaaaaa murungnya aku kal ,Positif
hyung kamu kanibal kan ' ' ,Netral
buatlah cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk membuat anak tangga perencanaannya cendekiabijak,Positif
kamu ga laku laku unn ,Negatif
aku try untuk lupakan benda tu tapi akhirnya benda tu buat aku jadi down ya allah tlg laa hilangkan kekecewaan yg ada ,Negatif
jajanin aku kak ,Netral
iyaaaa kasian donghae nya aku kelelep ,Negatif
ini tiga aku satu aja gapunya ' ,Netral
hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee ,Netral
