sentimen,teks
0,lagu bosan apa yang aku save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu
0,kita lanjutkan saja diam ini hingga kau dan aku mengerti tidak semua kebersamaan harus melibatkan hati 
2,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p 
2,makasih loh ntar kita bagi hasil aku 99 9 sisanya buat kamu
0,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang 
1,barusan liat tulisan di belakang truk rela injek kopling demi kamu bisa shopping 
0,cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p 
2,ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya
0,aku aja capek sama diriku sendiri apalagi kamu maaf ya ' 
0,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan 
1,her itu lho miss kevin sama keven rebutan gimbot ya wis aku beli 2 ae sambil nunjuk the twins yg asik main ipad masin 
1,iya rep gatau aku masih kelas 4 sd ehh di block 
1,aku mohon tepatilah janjimu penantiancintaeps19
1,bukan beria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser 
1,aku ingatkan habanero paling pedas rupanya ada 10 kali ganda yg lagi pedas gila 
1,aku tengok drama cinta bukan kristalatu conversation anak dengan bapak bapak iyeee sekarang semua perempuan n 
2,i dont know why but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla 
0,commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa 
2,aah kamu aja mas aku lebih suka diayomi 
1,yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja 
1,kau dah tak streak dengan aku pun 
1,yg selama ini nunggun video dari aku nih retweet yg mau full 
2,mau bantu aku nabung 
0,kamu jahat dubu lt 
1,tak kisah pun bf ade kawan perempuan sebab aku pun ade kawan laki tapi kalau over nak ngadu nak cite itu ini send ga 
1,high 
1,nanti malam ada undangan opening di hungerbelt spazio temani aku laaaahhh siiisssss 
0,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu 
2,tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya 
2,aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha 
1,aku tambah lagi ia
2,cara nak mintak maaf ada 3 1 aku minta maaf 2 aku mengaku salah aku 3 apa yang boleh aku buat untuk betulkan ba 
1,sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan 
0,kalo gebetan kamu ngga pernah buang ludah di jalan pacarin 
0,jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil 
2,yuk netweetjen dibantu
2,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka 
1,lecturer aku suruh tampal note kat tempat yang aku selalu tengok takkan aku nak tampal kat muka crush pulak
1,20thn aku pengen nikah umur 23 sm orang yang gini gini gini 23thn blm ada yg nglamar 24thn si 
1,terdengar perbualan budak sekolah aku nk amik a level aku nk amik asasi asasi lagi ok dari matrik kan aa 
1,cara outin diri sendiri gimana sih yang bisa outin aku aku bayar deh g 
2,giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo 
2,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka 
